data_inicio,ano,mes,data_fim,ano_pmo,mes_pmo,numero_revisao,semana_operativa,id_modelo_usina,id_subsistema,subsistema,usina,custo_variavel_unitario
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,176,N,NORTE,P. ITAQUI,1017.89
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,70,N,NORTE,GERAMAR2,1241.81
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,421,N,NORTE,MARAN_VL22,531.91
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,204,N,NORTE,JARAQUI,0
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,437,N,NORTE,MARANIVL_7,531.9
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,212,N,NORTE,MARANHAO3,94.86
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,239,N,NORTE,PARNAIBA_V,185.71
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,436,N,NORTE,MARANIVL22,531.91
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,73,N,NORTE,GERAMAR1,1241.81
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,207,N,NORTE,PONTA NEGR,0
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,209,N,NORTE,TAMBAQUI,0
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,140,N,NORTE,UTE MAUA 3,244.53
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,205,N,NORTE,MANAUARA,0
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,422,N,NORTE,MARAN_VL_7,531.9
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,203,N,NORTE,C. ROCHA,0
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,205,N,NORTE,MANAUARA,0
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,21,N,NORTE,MARANHAO V,309.2
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,46,N,NORTE,N.VENECIA2,273.69
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,447,N,NORTE,N.VEN2_L7,273.69
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,36,N,NORTE,MARANHAOIV,309.2
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,140,N,NORTE,UTE MAUA 3,152.14
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,207,N,NORTE,PONTA NEGR,0
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,436,N,NORTE,MARANIVL22,309.21
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,201,N,NORTE,APARECIDA,152.14
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,422,N,NORTE,MARAN_VL_7,309.2
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,73,N,NORTE,GERAMAR1,1124.53
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,209,N,NORTE,TAMBAQUI,0
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,176,N,NORTE,P. ITAQUI,766.96
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,204,N,NORTE,JARAQUI,0
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,446,N,NORTE,N.VEN2_L22,273.69
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,203,N,NORTE,C. ROCHA,0
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,437,N,NORTE,MARANIVL_7,309.2
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,239,N,NORTE,PARNAIBA_V,204.26
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,212,N,NORTE,MARANHAO3,101
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,421,N,NORTE,MARAN_VL22,309.21
2022-11-26,2022,11,2022-12-02,2022,11,0,PMO Dezembro 2022,70,N,NORTE,GERAMAR2,1124.53
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,437,N,NORTE,MARANIVL_7,402.77
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,239,N,NORTE,PARNAIBA_V,202.92
