data,hora,ano,mes,id_subsistema,subsistema,valor_demanda,usina_hidraulica_verificada,geracao_pequena_usina_hidraulica_verificada,geracao_usina_termica_verificada,geracao_pequena_usina_termica_verificada,geracao_eolica_verificada,geracao_fotovoltaica_verificada
2023-12-22,20:00:00,2023,12,NE,NORDESTE,1248414000000,253436000000,9200,122900000000,48100,1257050,0
2023-12-22,14:30:00,2023,12,NE,NORDESTE,1335804000000,187236000000,8600,122900000000,48100,968090,525180
2023-12-22,02:30:00,2023,12,NE,NORDESTE,1176513000000,200375000000,8800,122900000000,49300,1137240,0
2023-12-22,10:00:00,2023,12,NE,NORDESTE,1291975000000,127027000000,8500,122900000000,48900,1207000,651300
2023-12-22,08:30:00,2023,12,NE,NORDESTE,1247532000000,127027000000,8500,122900000000,49400,1363260,520000
2023-12-22,10:30:00,2023,12,NE,NORDESTE,1301190000000,127027000000,8400,122900000000,48800,1142510,675290
2023-12-22,04:30:00,2023,12,NE,NORDESTE,1141627000000,191981000000,8700,122900000000,49400,1184080,0
2023-12-22,09:00:00,2023,12,NE,NORDESTE,1265517000000,127027000000,8500,122900000000,49300,1323290,565690
2023-12-22,19:00:00,2023,12,NE,NORDESTE,1265874000000,244540000000,9200,122900000000,48000,1184560,90
2023-12-22,03:00:00,2023,12,NE,NORDESTE,1166225000000,231171000000,8800,122900000000,49500,1146250,0
2023-12-22,05:30:00,2023,12,NE,NORDESTE,1085937000000,162344000000,8600,122900000000,49500,1177810,47000
2023-12-22,13:30:00,2023,12,NE,NORDESTE,1313885000000,147258000000,8600,122900000000,48400,968090,603210
2023-12-22,05:00:00,2023,12,NE,NORDESTE,1116815000000,127027000000,8600,122900000000,49300,1184260,3200
2023-12-22,02:00:00,2023,12,NE,NORDESTE,1185435000000,217653000000,8800,122900000000,49200,1129410,0
2023-12-22,21:30:00,2023,12,NE,NORDESTE,1287123000000,357931000000,9200,122900000000,48200,1253910,0
2023-12-22,17:30:00,2023,12,NE,NORDESTE,1235039000000,247757000000,8900,122900000000,48100,1043800,13790
2023-12-22,04:00:00,2023,12,NE,NORDESTE,1149736000000,196188000000,8700,122900000000,49500,1174280,0
2023-12-22,12:00:00,2023,12,NE,NORDESTE,1290804000000,132864000000,8500,122900000000,48800,1000050,674930
2023-12-22,14:00:00,2023,12,NE,NORDESTE,1327524000000,145027000000,8600,122900000000,48200,966290,568800
2023-12-22,16:00:00,2023,12,NE,NORDESTE,1300317000000,226374000000,8600,122900000000,47900,1006290,296790
2023-12-22,07:00:00,2023,12,NE,NORDESTE,1136733000000,127027000000,8600,122900000000,49600,1299410,346520
2023-12-22,03:30:00,2023,12,NE,NORDESTE,1157247000000,231171000000,8800,122900000000,49500,1159330,0
2023-12-22,06:30:00,2023,12,NE,NORDESTE,1099430000000,127027000000,8600,122900000000,49600,1234220,258240
2023-12-22,06:00:00,2023,12,NE,NORDESTE,1082614000000,149740000000,8600,122900000000,49600,1188210,166290
2023-12-22,16:30:00,2023,12,NE,NORDESTE,1275024000000,244721000000,8700,122900000000,48000,1019530,189120
2023-12-22,13:00:00,2023,12,NE,NORDESTE,1297708000000,145027000000,8600,122900000000,48600,971880,633680
2023-12-22,23:00:00,2023,12,NE,NORDESTE,1262702000000,265754000000,9200,122900000000,48200,1251850,0
2023-12-22,17:00:00,2023,12,NE,NORDESTE,1239522000000,247161000000,8800,122900000000,48000,1029160,66130
2023-12-22,15:30:00,2023,12,NE,NORDESTE,1320012000000,216563000000,8600,122900000000,48000,988390,390800
2023-12-22,21:00:00,2023,12,NE,NORDESTE,1272436000000,357936000000,9200,122900000000,48200,1256960,0
2023-12-22,00:30:00,2023,12,NE,NORDESTE,1227616000000,324553000000,8900,123700000000,49200,1131280,0
2023-12-22,18:30:00,2023,12,N,NORTE,711996000000,435209000000,4800,89700000000,20900,31210,400
2023-12-22,23:00:00,2023,12,N,NORTE,765079000000,350271000000,4800,89700000000,20600,36000,0
2023-12-22,19:00:00,2023,12,N,NORTE,722617000000,498163000000,4800,89700000000,20800,31530,0
2023-12-22,20:30:00,2023,12,N,NORTE,735695000000,521089000000,4900,89700000000,20800,34210,0
2023-12-22,18:00:00,2023,12,N,NORTE,698334000000,406310000000,4800,89700000000,20900,31530,1600
2023-12-22,21:00:00,2023,12,N,NORTE,740939000000,456315000000,4900,89700000000,20800,34900,0
2023-12-22,20:00:00,2023,12,N,NORTE,732191000000,496310000000,4900,89700000000,20800,33310,0
